elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"FEDERAL, STATE AND COUNTY",20007,"SUPREME COURT DISTRICT 7",,1984,1984,1,"YES",,54260,126424,556778,737462,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20007,"SUPREME COURT DISTRICT 7",,1984,1984,2,"NO",,39395,143012,525632,708039,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,1984,1984,1,"YES",,56637,166333,678361,901331,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,1984,1984,2,"NO",,32939,95000,372589,500528,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,1984,1984,1,"YES",,58406,163423,667351,889180,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,1984,1984,2,"NO",,31126,96671,378733,506530,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,1984,1984,1,"YES",,59546,147524,617103,824173,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,1984,1984,2,"NO",,30063,112313,427793,570169,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,1984,1984,1,"YES",,55272,165831,676465,897568,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,1984,1984,2,"NO",,33905,93338,366013,493256,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,1984,1984,1,"YES",,55310,166708,679945,901963,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,1984,1984,2,"NO",,33808,91853,360235,485896,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,1984,1984,1,"YES",,55803,165404,674511,895718,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,1984,1984,2,"NO",,33372,92962,365302,491636,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,1984,1984,1,"YES",,58462,143779,601494,803735,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,1984,1984,2,"NO",,29682,111754,422972,564408,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,1984,1984,1,"YES",,56015,148768,614145,818928,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,1984,1984,2,"NO",,30358,98329,382933,511620,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,1984,1984,1,"YES",,54533,142241,591749,788523,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,1984,1984,2,"NO",,31826,104793,404744,541363,,
11/5/2024,"GRANT COUNTY",30002,"PROPOSITION",,7,7,1,"FOR THE PROPOSITION - YES",,49,178,1184,1411,GRANT
11/5/2024,"GRANT COUNTY",30002,"PROPOSITION",,7,7,2,"AGAINST THE PROPOSITION - NO",,26,130,539,695,GRANT
11/5/2024,"BRYAN COUNTY",30003,"PROPOSITION NO. 1",,25,25,1,"FOR THE PROPOSITION - YES",,286,1474,5532,7292,BRYAN
11/5/2024,"BRYAN COUNTY",30003,"PROPOSITION NO. 1",,25,25,2,"AGAINST THE PROPOSITION - NO",,275,1989,7805,10069,BRYAN
11/5/2024,"BRYAN COUNTY",30004,"PROPOSITION NO. 2",,25,25,1,"FOR THE PROPOSITION - YES",,266,1449,5232,6947,BRYAN
11/5/2024,"BRYAN COUNTY",30004,"PROPOSITION NO. 2",,25,25,2,"AGAINST THE PROPOSITION - NO",,297,2003,8077,10377,BRYAN
11/5/2024,"CIMARRON COUNTY",30005,"PROPOSITION",,6,6,1,"FOR THE PROPOSITION - YES",,30,330,416,776,CIMARRON
11/5/2024,"CIMARRON COUNTY",30005,"PROPOSITION",,6,6,2,"AGAINST THE PROPOSITION - NO",,6,50,103,159,CIMARRON
11/5/2024,"GRADY COUNTY",30006,"PROPOSITION",,28,28,1,"FOR THE PROPOSITION - YES",,998,2688,13796,17482,GRADY
11/5/2024,"GRADY COUNTY",30006,"PROPOSITION",,28,28,2,"AGAINST THE PROPOSITION - NO",,300,1354,5830,7484,GRADY
11/5/2024,"WASHINGTON COUNTY",30007,"PROPOSITION",,26,26,1,"FOR THE PROPOSITION - YES",,553,2923,9378,12854,WASHINGTON
11/5/2024,"WASHINGTON COUNTY",30007,"PROPOSITION",,26,26,2,"AGAINST THE PROPOSITION - NO",,414,2397,7283,10094,WASHINGTON
11/5/2024,"CRAIG COUNTY",30008,"PROPOSITION",,13,13,1,"FOR THE PROPOSITION - YES",,41,313,989,1343,CRAIG
11/5/2024,"CRAIG COUNTY",30008,"PROPOSITION",,13,13,2,"AGAINST THE PROPOSITION - NO",,139,957,3609,4705,CRAIG
11/5/2024,"LINCOLN COUNTY",30009,"PROPOSITION",,19,19,1,"FOR THE PROPOSITION - YES",,289,1840,6985,9114,LINCOLN
11/5/2024,"LINCOLN COUNTY",30009,"PROPOSITION",,19,19,2,"AGAINST THE PROPOSITION - NO",,194,1192,4795,6181,LINCOLN
11/5/2024,"FEDERAL, STATE AND COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,1984,1984,1,"FOR THE PROPOSAL - YES",,38317,100583,421082,559982,,
11/5/2024,"FEDERAL, STATE AND COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,1984,1984,2,"AGAINST THE PROPOSAL - NO",,56416,172221,669889,898526,,
11/5/2024,"FEDERAL, STATE AND COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,1984,1984,1,"FOR THE PROPOSAL - YES",,73069,225190,909261,1207520,,
11/5/2024,"FEDERAL, STATE AND COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,1984,1984,2,"AGAINST THE PROPOSAL - NO",,25399,54352,208516,288267,,
11/5/2024,"COMANCHE COUNTY",30012,"PROPOSITION",,40,40,1,"FOR THE PROPOSITION - YES",,1322,4197,15589,21108,COMANCHE
11/5/2024,"COMANCHE COUNTY",30012,"PROPOSITION",,40,40,2,"AGAINST THE PROPOSITION - NO",,794,2743,9349,12886,COMANCHE
11/5/2024,"TOWN OF OKEENE",40601,"PROPOSITION  TOWN OF OKEENE",,1,1,1,"FOR THE PROPOSITION - YES",,11,20,290,321,,
11/5/2024,"TOWN OF OKEENE",40601,"PROPOSITION  TOWN OF OKEENE",,1,1,2,"AGAINST THE PROPOSITION - NO",,7,6,93,106,,
11/5/2024,"TOWN OF CALERA",40701,"PROPOSITION  TOWN OF CALERA",,3,3,1,"FOR THE PROPOSITION - YES",,12,74,364,450,,
11/5/2024,"TOWN OF CALERA",40701,"PROPOSITION  TOWN OF CALERA",,3,3,2,"AGAINST THE PROPOSITION - NO",,15,69,384,468,,
11/5/2024,"CITY OF ANADARKO",40801,"FOR MAYOR (UNEXPIRED TERM)  CITY OF ANADARKO",,3,3,1,"KELLEY McGLOTHLIN",,21,154,429,604,,
11/5/2024,"CITY OF ANADARKO",40801,"FOR MAYOR (UNEXPIRED TERM)  CITY OF ANADARKO",,3,3,2,"PATRICK MICHAEL HAYES",,3,34,138,175,,
11/5/2024,"CITY OF ANADARKO",40801,"FOR MAYOR (UNEXPIRED TERM)  CITY OF ANADARKO",,3,3,3,"JOHN McCASLAND",,18,209,490,717,,
11/5/2024,"CITY OF EL RENO",40901,"FOR COUNCILMEMBER WARD 1  CITY OF EL RENO",,3,3,1,"AMY NEATHERY",,28,126,455,609,,
11/5/2024,"CITY OF EL RENO",40901,"FOR COUNCILMEMBER WARD 1  CITY OF EL RENO",,3,3,2,"AARON J. HINES",,6,59,223,288,,
11/5/2024,"CITY OF EL RENO",40901,"FOR COUNCILMEMBER WARD 1  CITY OF EL RENO",,3,3,3,"PHILLIP CHURCH",,14,63,312,389,,
11/5/2024,"CITY OF EL RENO",40902,"PROPOSITION  CITY OF EL RENO",,13,13,1,"FOR THE PROPOSITION - YES",,169,876,2894,3939,,
11/5/2024,"CITY OF EL RENO",40902,"PROPOSITION  CITY OF EL RENO",,13,13,2,"AGAINST THE PROPOSITION - NO",,62,327,1048,1437,,
11/5/2024,"CITY OF YUKON",40903,"PROPOSITION NO. 1  CITY OF YUKON",,13,13,1,"FOR THE PROPOSITION - YES",,591,1663,4759,7013,,
11/5/2024,"CITY OF YUKON",40903,"PROPOSITION NO. 1  CITY OF YUKON",,13,13,2,"AGAINST THE PROPOSITION - NO",,231,812,1988,3031,,
11/5/2024,"CITY OF YUKON",40904,"PROPOSITION NO. 2  CITY OF YUKON",,13,13,1,"FOR THE PROPOSITION - YES",,670,1942,5354,7966,,
11/5/2024,"CITY OF YUKON",40904,"PROPOSITION NO. 2  CITY OF YUKON",,13,13,2,"AGAINST THE PROPOSITION - NO",,172,564,1502,2238,,
11/5/2024,"CITY OF YUKON",40905,"PROPOSITION NO. 3  CITY OF YUKON",,13,13,1,"FOR THE PROPOSITION - YES",,625,1855,5059,7539,,
11/5/2024,"CITY OF YUKON",40905,"PROPOSITION NO. 3  CITY OF YUKON",,13,13,2,"AGAINST THE PROPOSITION - NO",,204,623,1706,2533,,
11/5/2024,"CITY OF YUKON",40906,"PROPOSITION NO. 4  CITY OF YUKON",,13,13,1,"FOR THE PROPOSITION - YES",,484,1187,3319,4990,,
11/5/2024,"CITY OF YUKON",40906,"PROPOSITION NO. 4  CITY OF YUKON",,13,13,2,"AGAINST THE PROPOSITION - NO",,359,1319,3528,5206,,
11/5/2024,"CITY OF YUKON",40907,"PROPOSITION NO. 5  CITY OF YUKON",,13,13,1,"FOR THE PROPOSITION - YES",,584,1681,4713,6978,,
11/5/2024,"CITY OF YUKON",40907,"PROPOSITION NO. 5  CITY OF YUKON",,13,13,2,"AGAINST THE PROPOSITION - NO",,252,819,2097,3168,,
11/5/2024,"CITY OF MOORE",41401,"PROPOSITION NO. 1  CITY OF MOORE",,22,22,1,"FOR THE PROPOSITION - YES",,1222,3896,8054,13172,,
11/5/2024,"CITY OF MOORE",41401,"PROPOSITION NO. 1  CITY OF MOORE",,22,22,2,"AGAINST THE PROPOSITION - NO",,682,3129,6223,10034,,
11/5/2024,"CITY OF MOORE",41402,"PROPOSITION NO. 2  CITY OF MOORE",,22,22,1,"FOR THE PROPOSITION - YES",,1116,3747,7928,12791,,
11/5/2024,"CITY OF MOORE",41402,"PROPOSITION NO. 2  CITY OF MOORE",,22,22,2,"AGAINST THE PROPOSITION - NO",,789,3269,6329,10387,,
11/5/2024,"CITY OF LAWTON",41603,"FOR COUNCIL MEMBER WARD 2  CITY OF LAWTON",,7,7,1,"R. L. SMITH",,78,301,932,1311,,
11/5/2024,"CITY OF LAWTON",41603,"FOR COUNCIL MEMBER WARD 2  CITY OF LAWTON",,7,7,2,"SHELLI FOX",,73,243,815,1131,,
11/5/2024,"CITY OF CLINTON",42001,"FOR MAYOR  CITY OF CLINTON",,5,5,1,"CHRIS ROLAND",,26,207,545,778,,
11/5/2024,"CITY OF CLINTON",42001,"FOR MAYOR  CITY OF CLINTON",,5,5,2,"DAVID BERRONG",,63,496,1086,1645,,
11/5/2024,"CITY OF CLINTON",42003,"FOR COUNCILMAN WARD 4  CITY OF CLINTON",,3,3,1,"BOBBY STEWART",,11,52,110,173,,
11/5/2024,"CITY OF CLINTON",42003,"FOR COUNCILMAN WARD 4  CITY OF CLINTON",,3,3,2,"ARTHUR LLOYD JR",,7,40,135,182,,
11/5/2024,"TOWN OF SHATTUCK",42301,"PROPOSITION  TOWN OF SHATTUCK",,2,2,1,"FOR THE PROPOSITION - YES",,15,55,353,423,,
11/5/2024,"TOWN OF SHATTUCK",42301,"PROPOSITION  TOWN OF SHATTUCK",,2,2,2,"AGAINST THE PROPOSITION - NO",,1,14,93,108,,
11/5/2024,"CITY OF POND CREEK",42701,"PROPOSITION  CITY OF POND CREEK",,2,2,1,"FOR THE PROPOSITION - YES",,7,22,268,297,,
11/5/2024,"CITY OF POND CREEK",42701,"PROPOSITION  CITY OF POND CREEK",,2,2,2,"AGAINST THE PROPOSITION - NO",,4,13,109,126,,
11/5/2024,"TOWN OF TERRAL",43401,"PROPOSITION  TOWN OF TERRAL",,1,1,1,"FOR THE PROPOSITION - YES",,2,11,46,59,,
11/5/2024,"TOWN OF TERRAL",43401,"PROPOSITION  TOWN OF TERRAL",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,9,57,66,,
11/5/2024,"CITY OF FAIRVIEW",44701,"PROPOSITION  CITY OF FAIRVIEW",,2,2,1,"FOR THE PROPOSITION - YES",,46,231,422,699,,
11/5/2024,"CITY OF FAIRVIEW",44701,"PROPOSITION  CITY OF FAIRVIEW",,2,2,2,"AGAINST THE PROPOSITION - NO",,11,120,254,385,,
11/5/2024,"CITY OF EDMOND",45501,"PROPOSITION NO. 1 STREET AND BRIDGE PROJECTS  CITY OF EDMOND",,37,37,1,"FOR THE PROPOSITION - YES",,3231,1966,9957,15154,,
11/5/2024,"CITY OF EDMOND",45501,"PROPOSITION NO. 1 STREET AND BRIDGE PROJECTS  CITY OF EDMOND",,37,37,2,"AGAINST THE PROPOSITION - NO",,4277,5274,23419,32970,,
11/5/2024,"CITY OF EDMOND",45502,"PROPOSITION NO. 2 PARKS AND RECREATIONAL FACILITIES PROJECTS  CITY OF EDMOND",,37,37,1,"FOR THE PROPOSITION - YES",,2778,1815,9405,13998,,
11/5/2024,"CITY OF EDMOND",45502,"PROPOSITION NO. 2 PARKS AND RECREATIONAL FACILITIES PROJECTS  CITY OF EDMOND",,37,37,2,"AGAINST THE PROPOSITION - NO",,4723,5425,23923,34071,,
11/5/2024,"CITY OF EDMOND",45503,"PROPOSITION NO. 3 FIREFIGHTING BUILDINGS, FACILITIES, AND EQUIPMENT PROJECTS  CITY OF EDMOND",,37,37,1,"FOR THE PROPOSITION - YES",,3590,2282,11349,17221,,
11/5/2024,"CITY OF EDMOND",45503,"PROPOSITION NO. 3 FIREFIGHTING BUILDINGS, FACILITIES, AND EQUIPMENT PROJECTS  CITY OF EDMOND",,37,37,2,"AGAINST THE PROPOSITION - NO",,3919,4949,21977,30845,,
11/5/2024,"CITY OF BEGGS",45601,"PROPOSITION  CITY OF BEGGS",,4,4,1,"FOR THE PROPOSITION - YES",,5,40,181,226,,
11/5/2024,"CITY OF BEGGS",45601,"PROPOSITION  CITY OF BEGGS",,4,4,2,"AGAINST THE PROPOSITION - NO",,9,62,385,456,,
11/5/2024,"CITY OF STILLWATER",46001,"PROPOSITION  CITY OF STILLWATER",,22,22,1,"FOR THE PROPOSITION - YES",,525,3031,6711,10267,,
11/5/2024,"CITY OF STILLWATER",46001,"PROPOSITION  CITY OF STILLWATER",,22,22,2,"AGAINST THE PROPOSITION - NO",,233,1033,2667,3933,,
11/5/2024,"TOWN OF QUINTON",46101,"PROPOSITION  TOWN OF QUINTON",,2,2,1,"FOR THE PROPOSITION - YES",,3,8,149,160,,
11/5/2024,"TOWN OF QUINTON",46101,"PROPOSITION  TOWN OF QUINTON",,2,2,2,"AGAINST THE PROPOSITION - NO",,4,22,133,159,,
11/5/2024,"TOWN OF FOYIL",46601,"PROPOSITION  TOWN OF FOYIL",,1,1,1,"FOR THE PROPOSITION - YES",,1,3,38,42,,
11/5/2024,"TOWN OF FOYIL",46601,"PROPOSITION  TOWN OF FOYIL",,1,1,2,"AGAINST THE PROPOSITION - NO",,2,6,53,61,,
11/5/2024,"CITY OF BIXBY",47201,"PROPOSITION  CITY OF BIXBY",,16,16,1,"FOR THE PROPOSITION - YES",,616,636,6964,8216,,
11/5/2024,"CITY OF BIXBY",47201,"PROPOSITION  CITY OF BIXBY",,16,16,2,"AGAINST THE PROPOSITION - NO",,309,469,4718,5496,,
11/5/2024,"CITY OF TULSA",47202,"FOR MAYOR  CITY OF TULSA",,163,163,1,"MONROE NICHOLS",,5370,9527,61570,76467,,
11/5/2024,"CITY OF TULSA",47202,"FOR MAYOR  CITY OF TULSA",,163,163,2,"KAREN KEITH",,4927,6564,49495,60986,,
11/5/2024,"CITY OF TULSA",47204,"FOR COUNCIL DISTRICT 2  CITY OF TULSA",,15,15,1,"ANTHONY ARCHIE",,463,676,5285,6424,,
11/5/2024,"CITY OF TULSA",47204,"FOR COUNCIL DISTRICT 2  CITY OF TULSA",,15,15,2,"STEPHANIE REISDORPH",,370,544,4449,5363,,
11/5/2024,"CITY OF TULSA",47209,"FOR COUNCIL DISTRICT 7  CITY OF TULSA",,20,20,1,"LORI DECTER WRIGHT",,711,891,6155,7757,,
11/5/2024,"CITY OF TULSA",47209,"FOR COUNCIL DISTRICT 7  CITY OF TULSA",,20,20,2,"EDDIE HUFF",,372,809,5739,6920,,
11/5/2024,"CITY OF TULSA",47211,"FOR COUNCIL DISTRICT 9  CITY OF TULSA",,19,19,1,"CAROL BUSH",,1338,1336,8993,11667,,
11/5/2024,"CITY OF TULSA",47211,"FOR COUNCIL DISTRICT 9  CITY OF TULSA",,19,19,2,"JAYME FOWLER",,702,951,7027,8680,,
11/5/2024,"CITY OF BARTLESVILLE",47401,"FOR COUNCILMEMBER WARD 1  CITY OF BARTLESVILLE",,4,4,1,"TIM SHERRICK",,27,390,1192,1609,,
11/5/2024,"CITY OF BARTLESVILLE",47401,"FOR COUNCILMEMBER WARD 1  CITY OF BARTLESVILLE",,4,4,2,"DALE COPELAND",,88,348,1071,1507,,
11/5/2024,"CITY OF BARTLESVILLE",47402,"FOR COUNCILMEMBER WARD 2  CITY OF BARTLESVILLE",,7,7,1,"LARRY EAST",,106,758,1442,2306,,
11/5/2024,"CITY OF BARTLESVILLE",47402,"FOR COUNCILMEMBER WARD 2  CITY OF BARTLESVILLE",,7,7,2,"LOREN ROSZEL",,100,469,866,1435,,
11/5/2024,"CITY OF BARTLESVILLE",47404,"FOR COUNCILMEMBER WARD 4  CITY OF BARTLESVILLE",,6,6,1,"QUINN SCHIPPER",,35,141,504,680,,
11/5/2024,"CITY OF BARTLESVILLE",47404,"FOR COUNCILMEMBER WARD 4  CITY OF BARTLESVILLE",,6,6,2,"AARON KIRKPATRICK",,38,229,1002,1269,,
11/5/2024,"CITY OF BARTLESVILLE",47404,"FOR COUNCILMEMBER WARD 4  CITY OF BARTLESVILLE",,6,6,3,"CHRISTOPHER LaTORRACA",,10,36,105,151,,
11/5/2024,"CITY OF BARTLESVILLE",47405,"FOR COUNCILMEMBER WARD 5  CITY OF BARTLESVILLE",,5,5,1,"MATTHEW SNODGRASS",,42,219,566,827,,
11/5/2024,"CITY OF BARTLESVILLE",47405,"FOR COUNCILMEMBER WARD 5  CITY OF BARTLESVILLE",,5,5,2,"TREVOR D DORSEY",,58,523,1168,1749,,
11/5/2024,"CITY OF BARTLESVILLE",47405,"FOR COUNCILMEMBER WARD 5  CITY OF BARTLESVILLE",,5,5,3,"KAREN MONROE",,28,148,443,619,,
11/5/2024,"WYNONA PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 030",55701,"PROPOSITION  WYNONA PUBLIC SCHOOLS",,4,4,1,"FOR THE PROPOSITION - YES",,0,23,144,167,,
11/5/2024,"WYNONA PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 030",55701,"PROPOSITION  WYNONA PUBLIC SCHOOLS",,4,4,2,"AGAINST THE PROPOSITION - NO",,4,18,84,106,,
11/5/2024,"INDIANOLA PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 025",56101,"PROPOSITION  INDIANOLA PUBLIC SCHOOLS",,4,4,1,"FOR THE PROPOSITION - YES",,4,71,331,406,,
11/5/2024,"INDIANOLA PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 025",56101,"PROPOSITION  INDIANOLA PUBLIC SCHOOLS",,4,4,2,"AGAINST THE PROPOSITION - NO",,3,54,319,376,,
11/5/2024,"CEDAR COUNTRY FIRE PROTECTION",60141,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  CEDAR COUNTRY FIRE PROTECTION",,4,4,1,"MATT ACHEMIRE",,17,57,239,313,,
11/5/2024,"CEDAR COUNTRY FIRE PROTECTION",60141,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  CEDAR COUNTRY FIRE PROTECTION",,4,4,2,"TOM McCRACKEN",,26,146,571,743,,
11/5/2024,"DELAWARE COUNTY (CLEORA)",60211,"PROPOSITION  DELAWARE COUNTY (CLEORA)",,1,1,1,"FOR THE PROPOSITION - YES",,7,44,207,258,,
11/5/2024,"DELAWARE COUNTY (CLEORA)",60211,"PROPOSITION  DELAWARE COUNTY (CLEORA)",,1,1,2,"AGAINST THE PROPOSITION - NO",,1,12,47,60,,
11/5/2024,"WOODCREST R.F.P.D.",60421,"PROPOSITION  WOODCREST R.F.P.D.",,4,4,1,"FOR THE PROPOSITION - YES",,232,677,1388,2297,,
11/5/2024,"WOODCREST R.F.P.D.",60421,"PROPOSITION  WOODCREST R.F.P.D.",,4,4,2,"AGAINST THE PROPOSITION - NO",,59,356,925,1340,,
11/5/2024,"FOYIL FIRE",60661,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  FOYIL FIRE",,3,3,1,"PERRY ATCHLEY",,53,238,1068,1359,,
11/5/2024,"FOYIL FIRE",60661,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  FOYIL FIRE",,3,3,2,"DENNY GRIGG",,19,163,540,722,,
11/5/2024,"VERDIGRIS FIRE",60662,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  VERDIGRIS FIRE",,4,4,1,"BRUCE COON",,60,421,957,1438,,
11/5/2024,"VERDIGRIS FIRE",60662,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  VERDIGRIS FIRE",,4,4,2,"MIKE L. MILLER",,102,659,1749,2510,,
11/5/2024,"BERRYHILL FIRE PROTECTION",60721,"PROPOSITION NO. 1  BERRYHILL FIRE PROTECTION",,4,4,1,"FOR THE PROPOSITION - YES",,40,3,824,867,,
11/5/2024,"BERRYHILL FIRE PROTECTION",60721,"PROPOSITION NO. 1  BERRYHILL FIRE PROTECTION",,4,4,2,"AGAINST THE PROPOSITION - NO",,22,6,539,567,,
11/5/2024,"BERRYHILL FIRE PROTECTION",60722,"PROPOSITION NO. 2  BERRYHILL FIRE PROTECTION",,4,4,1,"FOR THE PROPOSITION - YES",,48,3,865,916,,
11/5/2024,"BERRYHILL FIRE PROTECTION",60722,"PROPOSITION NO. 2  BERRYHILL FIRE PROTECTION",,4,4,2,"AGAINST THE PROPOSITION - NO",,14,6,494,514,,
11/5/2024,"WHITEHORN COVE FIRE",60731,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  WHITEHORN COVE FIRE",,3,3,1,"CRAIG MINTON",,5,84,261,350,,
11/5/2024,"WHITEHORN COVE FIRE",60731,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  WHITEHORN COVE FIRE",,3,3,2,"JOSHUA CUPPS",,8,101,417,526,,
11/5/2024,"WHITEHORN COVE FIRE",60732,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,1,"JAY STAMPS",,9,90,388,487,,
11/5/2024,"WHITEHORN COVE FIRE",60732,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,2,"ONIE WELSH",,7,96,300,403,,
11/5/2024,"WHITEHORN COVE FIRE",60733,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,1,"CASEY GOLDEN",,8,110,363,481,,
11/5/2024,"WHITEHORN COVE FIRE",60733,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,2,"CARRIE HENSON",,7,67,302,376,,
11/5/2024,"WHITEHORN COVE FIRE",60734,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,1,"GARY ANDREWS",,11,113,395,519,,
11/5/2024,"WHITEHORN COVE FIRE",60734,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS (UNEXPIRED TERM)  WHITEHORN COVE FIRE",,3,3,2,"KIMBERELY ROBERTS",,4,64,269,337,,
