Table 1
DIST,CTY,MUNICIPALITY,"Daigle, Lucien J.B.","Martin, John L.",Blank,TBC,,,,,,
,,TOTAL,2249,2769,269,5287,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Dodge, Janice S.","Hemenway, Stephen  J.",Blank,TBC,,,,,,
,,,Belfast,Northport,,,,,,,,
,,,Democratic,Republican,,,,,,,,
39,WAL,BELFAST,2923,1135,199,4257,,,,,,
39,WAL,BELMONT,270,308,41,619,,,,,,
39,WAL,NORTHPORT,674,411,54,1139,,,,,,
39,,STATE UOCAVA,65,6,1,72,,,,,,
,,TOTAL,3932,1860,295,6087,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"McLaughlin, Joseph M.","Ray, D. Michael",Blank,TBC,,,,,,
,,,Lincolnville,Lincolnville,,,,,,,,
,,,Republican,Democratic,,,,,,,,
40,KNO,APPLETON,431,467,36,934,,,,,,
40,WAL,ISLESBORO,160,280,22,462,,,,,,
40,WAL,LIBERTY,323,285,28,636,,,,,,
40,WAL,LINCOLNVILLE,607,1093,82,1782,,,,,,
40,WAL,MONTVILLE,317,345,30,692,,,,,,
40,WAL,MORRILL,352,234,48,634,,,,,,
40,WAL,SEARSMONT,481,439,56,976,,,,,,
40,,STATE UOCAVA,4,44,4,52,,,,,,
,,TOTAL,2675,3187,306,6168,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Doudera, Victoria W.","Raymond, Cory C.",Blank,TBC,,,,,,
,,,Camden,Rockport,,,,,,,,
,,,Democratic,Republican,,,,,,,,
41,KNO,CAMDEN,2820,747,120,3687,,,,,,
41,KNO,ROCKPORT,1648,778,116,2542,,,,,,
41,,STATE UOCAVA,88,5,4,97,,,,,,
,,TOTAL,4556,1530,240,6326,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Geiger, Valli D.","Hopkins, Jamie L.",Blank,TBC,,,,,,
,,,Rockland,Owls Head,,,,,,,,
,,,Democratic,Republican,,,,,,,,
42,KNO,MATINICUS ISLE PLANTATION,30,13,5,48,,,,,,
42,KNO,NORTH HAVEN,190,89,28,307,,,,,,
42,KNO,OWLS HEAD,391,441,41,873,,,,,,
42,KNO,ROCKLAND,2353,1383,206,3942,,,,,,
42,,STATE UOCAVA,28,9,2,39,,,,,,
,,TOTAL,2992,1935,282,5209,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Matlack, Ann H.","Sprague, Heather Anne",Blank,TBC,,,,,,
,,,St. George,Cushing,,,,,,,,
,,,Democratic,Republican,,,,,,,,
43,KNO,CUSHING,427,590,25,1042,,,,,,
43,KNO,OWLS HEAD,134,100,11,245,,,,,,
43,KNO,SOUTH THOMASTON,576,447,57,1080,,,,,,
43,KNO,ST. GEORGE,1089,679,79,1847,,,,,,
43,KNO,THOMASTON,884,668,72,1624,,,,,,
43,,STATE UOCAVA,51,5,5,61,,,,,,
,,TOTAL,3161,2489,249,5899,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Pluecker, William D.","Thombs, Ray A.",Blank,TBC,,,,,,
,,,Warren,Union,,,,,,,,
,,,Independent For Maine,Republican,,,,,,,,
44,KNO,HOPE,689,417,41,1147,,,,,,
44,KNO,UNION,809,815,61,1685,,,,,,
44,KNO,WARREN,1204,1133,85,2422,,,,,,
44,,STATE UOCAVA,28,5,2,35,,,,,,
,,TOTAL,2730,2370,189,5289,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Simmons, Abden S.","Stone, Jennifer A.",Blank,TBC,,,,,,
,,,Waldoboro,Waldoboro,,,,,,,,
,,,Republican,Democratic,,,,,,,,
45,KNO,FRIENDSHIP,563,258,27,848,,,,,,
45,KNO,WASHINGTON,584,415,53,1052,,,,,,
45,LIN,BREMEN,217,377,17,611,,,,,,
45,LIN,LOUDS ISLAND TWP,1,0,0,1,,,,,,
45,LIN,WALDOBORO,1709,1287,63,3059,,,,,,
45,,STATE UOCAVA,8,40,0,48,,,,,,
,,TOTAL,3082,2377,160,5619,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Crafts, Lydia V.","Daxland, Mary Lou J.",Blank,TBC,,,,,,
,,,Newcastle,Newcastle,,,,,,,,
,,,Democratic,Republican,,,,,,,,
46,LIN,BRISTOL,1365,753,74,2192,,,,,,
46,LIN,DAMARISCOTTA,1020,434,63,1517,,,,,,
46,LIN,MONHEGAN ISLAND PLANTATION,54,8,3,65,,,,,,
46,LIN,NEWCASTLE,960,394,38,1392,,,,,,
46,LIN,NOBLEBORO,712,593,63,1368,,,,,,
46,,STATE UOCAVA,75,10,3,88,,,,,,
,,TOTAL,4186,2192,244,6622,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Farrin, Wayne K.","Polewarczyk, Edward J.",Blank,TBC,,,,,,
,,,Jefferson,Wiscasset,,,,,,,,
,,,Democratic,Republican,,,,,,,,
47,LIN,ALNA,335,193,13,541,,,,,,
47,LIN,JEFFERSON,918,804,65,1787,,,,,,
47,LIN,WHITEFIELD,726,707,64,1497,,,,,,
47,LIN,WISCASSET,1062,1176,146,2384,,,,,,
47,,STATE UOCAVA,46,2,2,50,,,,,,
,,TOTAL,3087,2882,290,6259,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Hunt, James William","Stover, Holly B.",Blank,TBC,,,,,,
,,,Southport,Boothbay,,,,,,,,
,,,Republican,Democratic,,,,,,,,
48,LIN,BOOTHBAY,740,1407,80,2227,,,,,,
48,LIN,BOOTHBAY HARBOR,425,933,64,1422,,,,,,
48,LIN,EDGECOMB,294,566,29,889,,,,,,
48,LIN,SOUTH BRISTOL,257,442,37,736,,,,,,
48,LIN,SOUTHPORT,164,294,14,472,,,,,,
48,LIN,WESTPORT ISLAND,215,336,17,568,,,,,,
48,,STATE UOCAVA,6,80,3,89,,,,,,
,,TOTAL,2101,4058,244,6403,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Brown, Vincent  E.","Hepler, Allison Lee",Blank,TBC,,,,,,
,,,West Bath,Woolwich,,,,,,,,
,,,Republican,Democratic,,,,,,,,
49,SAG,ARROWSIC,76,270,15,361,,,,,,
49,SAG,GEORGETOWN,267,584,23,874,,,,,,
49,SAG,PHIPPSBURG,627,912,104,1643,,,,,,
49,SAG,WEST BATH,618,760,68,1446,,,,,,
49,SAG,WOOLWICH,873,1342,68,2283,,,,,,
49,,STATE UOCAVA,10,55,2,67,,,,,,
,,TOTAL,2471,3923,280,6674,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Eames, Harold  Alfred","Sinclair, David A.",Blank,TBC,,,,,,
,,,Bath,Bath,,,,,,,,
,,,Republican,Democratic,,,,,,,,
50,SAG,BATH,1479,3413,373,5265,,,,,,
50,,STATE UOCAVA,7,50,5,62,,,,,,
,,TOTAL,1486,3463,378,5327,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Brillant, Leon C.","Macias, Rafael Leo",Blank,TBC,,,,,,
,,,Topsham,Topsham,,,,,,,,
,,,Republican,Democratic,,,,,,,,
51,SAG,TOPSHAM,2285,3498,286,6069,,,,,,
51,,STATE UOCAVA,4,45,4,53,,,,,,
,,TOTAL,2289,3543,290,6122,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Cluchey, Sally Jeane","Guilmette, David W.",Blank,TBC,,,,,,
,,,Bowdoinham,Richmond,,,,,,,,
,,,Democratic,Republican,,,,,,,,
52,SAG,BOWDOIN,552,720,49,1321,,,,,,
52,SAG,BOWDOINHAM,1211,841,54,2106,,,,,,
52,SAG,RICHMOND,959,1170,61,2190,,,,,,
52,,STATE UOCAVA,26,3,1,30,,,,,,
,,TOTAL,2748,2734,165,5647,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Lemelin, Michael H.","Tunkle, Judy E.",Blank,TBC,,,,,,
,,,Chelsea,Dresden,,,,,,,,
,,,Republican,Democratic,,,,,,,,
53,KEN,CHELSEA,1010,537,63,1610,,,,,,
53,KEN,PITTSTON,1109,663,76,1848,,,,,,
53,KEN,RANDOLPH,532,446,56,1034,,,,,,
53,LIN,DRESDEN,588,584,64,1236,,,,,,
53,,STATE UOCAVA,11,17,0,28,,,,,,
,,TOTAL,3250,2247,259,5756,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Montell, Karen L.","Williams, Scott Douglas",Blank,TBC,,,,,,
,,,Gardiner,Gardiner,,,,,,,,
,,,Democratic,Republican,,,,,,,,
54,KEN,FARMINGDALE,902,803,150,1855,,,,,,
54,KEN,GARDINER,1760,1451,176,3387,,,,,,
54,,STATE UOCAVA,21,7,1,29,,,,,,
,,TOTAL,2683,2261,327,5271,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Boyd, Joe N.","Shagoury, Daniel Joseph",Blank,TBC,,,,,,
,,,West Gardiner,Hallowell,,,,,,,,
,,,Republican,Democratic,,,,,,,,
55,KEN,HALLOWELL,438,1312,83,1833,,,,,,
55,KEN,MANCHESTER,907,741,71,1719,,,,,,
55,KEN,WEST GARDINER,1509,904,89,2502,,,,,,
55,,STATE UOCAVA,9,36,2,47,,,,,,
,,TOTAL,2863,2993,245,6101,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Ackley, Kent F.","Greenwood, Randall Adam",Blank,TBC,,,,,,
,,,Monmouth,Wales,,,,,,,,
,,,Wicked Thrifty Independent,Republican,,,,,,,,
56,AND,WALES,258,687,42,987,,,,,,
56,KEN,LITCHFIELD,990,1208,131,2329,,,,,,
56,KEN,MONMOUTH,1296,1220,124,2640,,,,,,
56,,STATE UOCAVA,14,5,6,25,,,,,,
,,TOTAL,2558,3120,303,5981,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Hasenfus, Tavis Rock","Piccininni, Donna L.",Blank,TBC,,,,,,
,,,Readfield,Winthrop,,,,,,,,
,,,Democratic,Republican,,,,,,,,
57,KEN,READFIELD,1000,772,66,1838,,,,,,
57,KEN,WINTHROP,2219,1487,247,3953,,,,,,
57,,STATE UOCAVA,26,10,2,38,,,,,,
,,TOTAL,3245,2269,315,5829,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Frost, Sharon C.","Newman, Daniel J.",Blank,TBC,,,,,,
,,,Belgrade,Belgrade,,,,,,,,
,,,Unenrolled,Republican,,,,,,,,
58,FRA,NEW SHARON,458,486,57,1001,,,,,,
58,KEN,BELGRADE,1025,1174,82,2281,,,,,,
58,KEN,FAYETTE,442,391,48,881,,,,,,
58,KEN,MOUNT VERNON,608,533,53,1194,,,,,,
58,KEN,ROME,361,331,37,729,,,,,,
58,KEN,VIENNA,229,187,24,440,,,,,,
58,,STATE UOCAVA,36,14,4,54,,,,,,
,,TOTAL,3159,3116,305,6580,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Emerson, Marcus E.","Rollins, David M.",Blank,TBC,,,,,,
,,,Augusta,Augusta,,,,,,,,
,,,Republican,Democratic,,,,,,,,
59,KEN,AUGUSTA,2270,2574,203,5047,,,,,,
59,,STATE UOCAVA,2,27,4,33,,,,,,
,,TOTAL,2272,2601,207,5080,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bridgeo, William R.","MacDowell, Wendy Lee",Blank,TBC,,,,,,
,,,Augusta,Augusta,,,,,,,,
,,,Democratic,Republican,,,,,,,,
60,KEN,AUGUSTA,2690,2113,262,5065,,,,,,
60,,STATE UOCAVA,11,6,1,18,,,,,,
,,TOTAL,2701,2119,263,5083,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Collins, Alicia Carol","Jones, Laura M.",Blank,TBC,,,,,,
,,,Sidney,Vassalboro,,,,,,,,
,,,Republican,Democratic,,,,,,,,
61,KEN,SIDNEY,1919,985,91,2995,,,,,,
61,KEN,VASSALBORO,1339,1230,138,2707,,,,,,
61,,STATE UOCAVA,4,18,2,24,,,,,,
,,TOTAL,3262,2233,231,5726,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Smith, Katrina J.","Swift , Pamela  Jo",Blank,TBC,,,,,,
,,,Palermo,Palermo,,,,,,,,
,,,Republican,Democratic,,,,,,,,
62,KEN,CHINA,1537,961,158,2656,,,,,,
62,KEN,WINDSOR,1049,452,86,1587,,,,,,
62,LIN,SOMERVILLE,228,115,23,366,,,,,,
62,WAL,PALERMO,638,404,21,1063,,,,,,
62,,STATE UOCAVA,9,10,2,21,,,,,,
,,TOTAL,3461,1942,290,5693,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Flynn, Paul R.","Trahan, Lee A.",Blank,TBC,,,,,,
,,,Albion,Winslow,,,,,,,,
,,,Republican,Democratic,,,,,,,,
63,KEN,ALBION,929,303,54,1286,,,,,,
63,KEN,WINSLOW,2030,1717,156,3903,,,,,,
63,WAL,FREEDOM,304,159,26,489,,,,,,
63,,STATE UOCAVA,9,21,2,32,,,,,,
,,TOTAL,3272,2200,238,5710,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"DeBrito, Flavia M.","Malcolm, Ruth Ann",Blank,TBC,,,,,,
,,,Waterville,Waterville,,,,,,,,
,,,Democratic,Republican,,,,,,,,
64,KEN,WATERVILLE,2225,1031,182,3438,,,,,,
64,KEN,WINSLOW,416,383,48,847,,,,,,
64,,STATE UOCAVA,38,1,3,42,,,,,,
,,TOTAL,2679,1415,233,4327,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Brown, Tammy ","Julia, Cassie Lynn",Others,Blank,TBC,,,,,
,,,Waterville,Waterville,,,,,,,,
,,,Republican,Democratic,,,,,,,,
65,KEN,WATERVILLE,1603,2272,5,196,4076,,,,,
65,,STATE UOCAVA,6,23,0,5,34,,,,,
,,TOTAL,1609,2295,5,201,4110,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Barnes , Alicia  ","Nutting , Robert  W.",Blank,TBC,,,,,,
,,,Oakland,Oakland,,,,,,,,
,,,Democratic,Republican,,,,,,,,
66,KEN,OAKLAND,1448,2137,176,3761,,,,,,
66,KEN,SIDNEY,57,131,10,198,,,,,,
66,SOM,MERCER,171,306,29,506,,,,,,
66,SOM,SMITHFIELD,232,379,30,641,,,,,,
66,SOM,STARKS,136,246,33,415,,,,,,
66,,STATE UOCAVA,16,6,0,22,,,,,,
,,TOTAL,2060,3205,278,5543,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Rudnicki, Shelley J.","Townsend, Matthew C.",Blank,TBC,,,,,,
,,,Fairfield,Fairfield,,,,,,,,
,,,Republican,Democratic,,,,,,,,
67,KEN,BENTON,877,638,71,1586,,,,,,
67,SOM,FAIRFIELD,1653,1694,130,3477,,,,,,
67,,STATE UOCAVA,7,5,0,12,,,,,,
,,TOTAL,2537,2337,201,5075,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Blake, Brian J.","Collamore, Amanda Noelle",Blank,TBC,,,,,,
,,,Troy,Pittsfield,,,,,,,,
,,,Democratic,Republican,,,,,,,,
68,KEN,CLINTON,556,1135,107,1798,,,,,,
68,SOM,PITTSFIELD,569,1399,112,2080,,,,,,
68,WAL,BURNHAM,214,429,34,677,,,,,,
68,WAL,TROY,260,284,41,585,,,,,,
68,,STATE UOCAVA,13,3,0,16,,,,,,
,,TOTAL,1612,3250,294,5156,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Blanchard, Jessica B. ","Cray, Dean A.",Blank,TBC,,,,,,
,,,Palmyra,Palmyra,,,,,,,,
,,,Democratic,Republican,,,,,,,,
69,SOM,CANAAN,412,742,82,1236,,,,,,
69,SOM,DETROIT,142,336,24,502,,,,,,
69,SOM,HARTLAND,261,672,53,986,,,,,,
69,SOM,PALMYRA,238,918,28,1184,,,,,,
69,SOM,SAINT ALBANS,276,899,58,1233,,,,,,
69,,STATE UOCAVA,11,5,1,17,,,,,,
,,TOTAL,1340,3572,246,5158,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Gray, Cecil R.","Poirier, Jennifer Lynn",Blank,TBC,,,,,,
,,,Skowhegan ,Skowhegan,,,,,,,,
,,,Democratic,Republican,,,,,,,,
70,SOM,SKOWHEGAN,1500,2542,289,4331,,,,,,
70,,STATE UOCAVA,8,7,1,16,,,,,,
,,TOTAL,1508,2549,290,4347,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Dorney, Ann E.","Ducharme, John E.",Blank,TBC,,,,,,
,,,Norridgewock ,Madison,,,,,,,,
,,,Democratic,Republican,,,,,,,,
71,SOM,CORNVILLE,269,531,41,841,,,,,,
71,SOM,MADISON,757,1574,141,2472,,,,,,
71,SOM,NORRIDGEWOCK,676,1123,142,1941,,,,,,
71,,STATE UOCAVA,15,4,1,20,,,,,,
,,TOTAL,1717,3232,325,5274,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Caruso, Elizabeth M.","Soma-Hernandez, Cynthia J.",Blank,TBC,,,,,,
,,,Caratunk,Anson,,,,,,,,
,,,Republican,Non Party Candidate,,,,,,,,
72,SOM,ANSON,820,354,143,1317,,,,,,
72,SOM,ATHENS,346,155,46,547,,,,,,
72,SOM,BINGHAM,401,122,51,574,,,,,,
72,SOM,CARATUNK,35,26,1,62,,,,,,
72,SOM,EMBDEN,459,161,48,668,,,,,,
72,SOM,HARMONY,332,104,79,515,,,,,,
72,SOM,JACKMAN TWPS,37,9,4,50,,,,,,
72,SOM,LEXINGTON TWP,57,32,17,106,,,,,,
72,SOM,MOSCOW,210,44,35,289,,,,,,
72,SOM,MOXIE GORE TWP,3,0,2,5,,,,,,
72,SOM,PLEASANT RIDGE PLANTATION,37,10,4,51,,,,,,
72,SOM,RIPLEY,195,70,53,318,,,,,,
72,SOM,ROCKWOOD STRIP TWP,154,44,33,231,,,,,,
72,SOM,SOLON/CONCORD TWP,384,172,75,631,,,,,,
72,PIS,TAUNTON & RAYNHAM ACADEMY GRANT,2,2,0,4,,,,,,
72,,STATE UOCAVA,3,19,0,22,,,,,,
,,TOTAL,3475,1324,591,5390,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bond, Tiffany ","Soboleski, Michael A.",Blank,TBC,,,,,,
,,,Rangeley,Phillips,,,,,,,,
,,,Common Sense Independent,Republican,,,,,,,,
73,FRA,CARRABASSETT VALLEY,320,196,37,553,,,,,,
73,FRA,COPLIN PLANTATION,57,51,8,116,,,,,,
73,FRA,DALLAS PLANTATION,113,109,20,242,,,,,,
73,FRA,EUSTIS/TWPS,209,262,51,522,,,,,,
73,FRA,FREEMAN TWP/SALEM TWP,39,76,13,128,,,,,,
73,FRA,KINGFIELD,349,445,92,886,,,,,,
73,FRA,PHILLIPS/MADRID TWP,249,394,45,688,,,,,,
73,FRA,RANGELEY,389,441,59,889,,,,,,
73,FRA,RANGELEY PLT,64,83,11,158,,,,,,
73,FRA,SANDY RIVER PLANTATION,52,57,9,118,,,,,,
73,OXF,ANDOVER,220,266,53,539,,,,,,
73,OXF,GILEAD,66,51,16,133,,,,,,
73,OXF,LINCOLN PLANTATION,26,26,6,58,,,,,,
73,OXF,NEWRY,142,108,27,277,,,,,,
73,OXF,UPTON,13,34,10,57,,,,,,
73,SOM,CARRYING PLACE TWP,0,1,0,1,,,,,,
73,SOM,DENNISTOWN PLANTATION,7,19,1,27,,,,,,
73,SOM,HIGHLAND PLANTATION,16,19,4,39,,,,,,
73,SOM,JACKMAN,125,331,36,492,,,,,,
73,SOM,MOOSE RIVER,24,91,12,127,,,,,,
73,SOM,MOSCOW TWPS,2,3,0,5,,,,,,
73,SOM,THE FORKS PLANTATION,15,16,4,35,,,,,,
73,SOM,WEST FORKS PLANTATION,21,25,4,50,,,,,,
73,FRA,WYMAN TWP,1,8,0,9,,,,,,
73,,STATE UOCAVA,38,2,7,47,,,,,,
,,TOTAL,2557,3114,525,6196,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Hall, Randall C.","Kimber, Gregory M.",Blank,TBC,,,,,,
,,,Wilton,Temple,,,,,,,,
,,,Republican,Democratic,,,,,,,,
74,FRA,AVON,199,69,21,289,,,,,,
74,FRA,CARTHAGE,259,58,21,338,,,,,,
74,FRA,INDUSTRY,305,191,26,522,,,,,,
74,FRA,NEW VINEYARD,316,135,21,472,,,,,,
74,FRA,STRONG,494,202,33,729,,,,,,
74,FRA,TEMPLE,161,155,19,335,,,,,,
74,FRA,WELD,192,120,22,334,,,,,,
74,FRA,WILTON,1372,731,114,2217,,,,,,
74,SOM,NEW PORTLAND,301,168,48,517,,,,,,
74,,STATE UOCAVA,11,27,1,39,,,,,,
,,TOTAL,3610,1856,326,5792,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bunker, Stephan M.","Gauvin, Randall D.",Blank,TBC,,,,,,
,,,Farmington,Farmington,,,,,,,,
,,,Democratic,Republican,,,,,,,,
75,FRA,CHESTERVILLE,266,552,28,846,,,,,,
75,FRA,FARMINGTON,2024,1748,249,4021,,,,,,
75,,STATE UOCAVA,27,10,2,39,,,,,,
,,TOTAL,2317,2310,279,4906,,,,,,
DIST,CTY,MUNICIPALITY,"Hoke, Tamara ","Lyman, Sheila A.",Blank,TBC,,,,,,
,,,Jay,Livermore Falls,,,,,,,,
,,,Democratic,Republican,,,,,,,,
76,AND,LIVERMORE,364,764,41,1169,,,,,,
76,AND,LIVERMORE FALLS,418,973,51,1442,,,,,,
76,FRA,JAY,1080,1529,98,2707,,,,,,
76,,STATE UOCAVA,4,5,1,10,,,,,,
,,TOTAL,1866,3271,191,5328,,,,,,
DIST,CTY,MUNICIPALITY,"Schmersal-Burgess, Tammy L.",Blank,TBC,,,,,,,
,,,Mexico,,,,,,,,,
,,,Republican,,,,,,,,,
77,AND,LIVERMORE,191,81,272,,,,,,,
77,OXF,CANTON,413,158,571,,,,,,,
77,OXF,DIXFIELD,1092,243,1335,,,,,,,
77,OXF,HARTFORD,540,208,748,,,,,,,
77,OXF,MEXICO,1020,267,1287,,,,,,,
77,OXF,PERU,736,164,900,,,,,,,
77,,STATE UOCAVA,6,7,13,,,,,,,
,,TOTAL,3998,1128,5126,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Giroux, Eric Lee","Henderson, Rachel A.",Blank,TBC,,,,,,
,,,Rumford,Rumford,,,,,,,,
,,,Democratic,Republican,,,,,,,,
78,OXF,BETHEL,858,811,102,1771,,,,,,
78,OXF,BYRON,27,74,5,106,,,,,,
78,OXF,HANOVER,83,109,12,204,,,,,,
78,OXF,MILTON TWP,20,57,1,78,,,,,,
78,OXF,ROXBURY,84,164,14,262,,,,,,
78,OXF,RUMFORD,993,1646,149,2788,,,,,,
78,,STATE UOCAVA,24,4,3,31,,,,,,
,,TOTAL,2089,2865,286,5240,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Lance, Michael J.","Nutt, Charlotte ",Blank,TBC,,,,,,
,,,Paris,Woodstock,,,,,,,,
,,,Republican,Independent For Maine,,,,,,,,
79,OXF,PARIS,1541,1216,217,2974,,,,,,
79,OXF,SUMNER,318,259,36,613,,,,,,
79,OXF,WEST PARIS,530,446,68,1044,,,,,,
79,OXF,WOODSTOCK,350,456,66,872,,,,,,
79,,STATE UOCAVA,8,6,1,15,,,,,,
,,TOTAL,2747,2383,388,5518,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Hill , Roberta  J.","Jackson, Caldwell ",Blank,TBC,,,,,,
,,,Buckfield ,Oxford,,,,,,,,
,,,Democratic,Republican,,,,,,,,
80,OXF,BUCKFIELD,407,760,89,1256,,,,,,
80,OXF,HEBRON,248,513,49,810,,,,,,
80,OXF,OTISFIELD,434,739,73,1246,,,,,,
80,OXF,OXFORD,567,1758,149,2474,,,,,,
80,,STATE UOCAVA,13,10,3,26,,,,,,
,,TOTAL,1669,3780,363,5812,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Beal, Joan  S.","Wood, Peter Conley",Blank,TBC,,,,,,
,,,Norway,Norway,,,,,,,,
,,,Democratic,Republican,,,,,,,,
81,OXF,ALBANY TOWNSHIP,160,169,16,345,,,,,,
81,OXF,GREENWOOD,294,284,32,610,,,,,,
81,OXF,MASON TWP,25,34,3,62,,,,,,
81,OXF,NORWAY,1470,1492,118,3080,,,,,,
81,OXF,STONEHAM,102,87,13,202,,,,,,
81,OXF,STOW,115,110,29,254,,,,,,
81,OXF,SWEDEN,156,112,19,287,,,,,,
81,OXF,WATERFORD,465,543,49,1057,,,,,,
81,,STATE UOCAVA,29,9,1,39,,,,,,
,,TOTAL,2816,2840,280,5936,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Sekera, Nichole ","Wadsworth, Nathan  J.",Blank,TBC,,,,,,
,,,Fryeburg,Hiram,,,,,,,,
,,,Democratic,Republican,,,,,,,,
82,OXF,BROWNFIELD,416,534,91,1041,,,,,,
82,OXF,FRYEBURG,958,922,204,2084,,,,,,
82,OXF,HIRAM,298,665,39,1002,,,,,,
82,OXF,LOVELL,407,407,37,851,,,,,,
82,OXF,PORTER,235,668,45,948,,,,,,
82,,STATE UOCAVA,41,10,2,53,,,,,,
,,TOTAL,2355,3206,418,5979,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Castleman-Ross, Carrye L.","Cimino, Marygrace Caroline",Blank,TBC,,,,,,
,,,Bridgton,Bridgton,,,,,,,,
,,,Democratic,Republican,,,,,,,,
83,CUM,BRIDGTON,1724,1655,239,3618,,,,,,
83,CUM,HARRISON,744,868,91,1703,,,,,,
83,OXF,DENMARK,374,411,53,838,,,,,,
83,,STATE UOCAVA,28,4,1,33,,,,,,
,,TOTAL,2870,2938,384,6192,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Dove , Cassandra  Anne","Walker, Mark ",Blank,TBC,,,,,,
,,,Baldwin,Naples,,,,,,,,
,,,Democratic,Republican,,,,,,,,
84,CUM,BALDWIN,360,637,69,1066,,,,,,
84,CUM,NAPLES,864,1557,171,2592,,,,,,
84,CUM,SEBAGO,475,749,97,1321,,,,,,
84,CUM,STANDISH,355,489,65,909,,,,,,
84,,STATE UOCAVA,26,6,2,34,,,,,,
,,TOTAL,2080,3438,404,5922,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Pomerleau, Kimberly ",Blank,TBC,,,,,,,
,,,Standish,,,,,,,,,
,,,Republican,,,,,,,,,
85,CUM,STANDISH,3865,1581,5446,,,,,,,
85,,STATE UOCAVA,13,18,31,,,,,,,
,TOTAL,,3878,1599,5477,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Messinger, Craig Robert","Olsen, Rolf A.",Blank,TBC,,,,,,
,,,Raymond,Raymond,,,,,,,,
,,,Democratic,Republican,,,,,,,,
86,AND,POLAND,83,135,14,232,,,,,,
86,CUM,CASCO,1006,1160,163,2329,,,,,,
86,CUM,FRYE ISLAND,22,24,3,49,,,,,,
86,CUM,RAYMOND,1544,1584,149,3277,,,,,,
86,,STATE UOCAVA,30,9,2,41,,,,,,
,,TOTAL,2685,2912,331,5928,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Boyer, David W.",Blank,TBC,,,,,,,
,,,Poland,,,,,,,,,
,,,Republican,,,,,,,,,
